timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to
60274.0,28,1.5548,116.6181,1.5702,655,0,180,4.3669,1.3398,4.1563,10,-7.0,217.1021,1.142,127.3081,-141,7.0805,0,0,14.9771,2.9023,0.3309,36.5141,13.3794,27,2,36,617,24,318,1.7578,2.125,0.625,-1.6602,,88.3594,2.375,19.5938,20.625,369.0186,546.1426,,0.7851,-16.1094,9.6719,83.0625
61303.0,29,1.5548,117.4168,1.5702,640,0,180,6.0363,2.8516,5.3203,10,-7.6719,388.3667,1.1938,125.2446,-129,5.9356,74.5444,0,15.3281,2.8885,0.3415,37.128,13.6729,42,8,20,612,20,322,2.207,2.5625,1.6875,-1.6602,,92.1719,0.5938,18.5625,15.625,480.2856,587.4023,,0.7851,-20.4375,8.625,87.125
62325.0,30,1.5587,125.1303,1.5702,548,0,181,7.3616,3.3047,6.5781,9,-8.5625,409.668,1.5,114.2857,-69,1.7038,10.4434,0,17.9015,2.8229,0.4676,43.2216,16.5869,131,22,20,506,23,322,6.7461,6.0,2.5,-1.6602,,69.9375,1.7969,12.2813,9.2188,520.3247,552.3071,,0.7851,-13.6094,11.3281,67.2656
63284.0,31,1.551,115.3846,1.5702,662,0,172,3.288,0.8516,3.1758,13,-4.75,252.6855,1.142,127.3077,-142,7.1803,0,0,14.8187,2.9002,0.2951,35.2731,12.7859,14,6,18,638,24,324,0.7148,0.8125,1.75,-1.6602,-43.75,86.3594,1.4844,18.1406,16.375,333.1909,503.54,29.0,0.7851,-17.0938,3.7031,81.6563
64324.0,32,1.551,120.1201,1.5702,634,0,161,2.8591,0.4922,2.8164,13,-6.2656,318.6646,1.1514,126.9269,-135,6.496,0,0,15.4732,2.8746,0.4131,39.3635,14.742,47,6,20,608,20,323,1.625,1.875,2.1875,-1.6602,-43.75,80.5469,2.0938,17.4375,17.3594,367.6147,514.0991,29.0,0.7851,-23.7969,3.7813,76.7813
65323.0,33,1.5548,120.2405,1.5702,620,0,153,2.7384,0.3867,2.7109,13,-4.5156,269.3481,1.2194,124.2485,-121,5.2265,42.9341,0,15.8226,2.8709,0.4042,39.4325,14.775,60,2,20,598,28,316,0.8438,2.0625,0.875,-1.6602,-43.75,87.7344,0.4531,15.1094,11.7969,337.0972,530.2734,29.0,0.7851,-26.5313,3.875,80.9844
66321.0,34,1.551,117.5318,1.5702,652,0,149,2.7553,0.4922,2.7109,11,-8.6563,288.8794,1.1319,127.7179,-142,7.1803,0,0,15.046,2.8908,0.3541,37.2315,13.7224,29,2,34,616,22,321,1.2813,0.75,1.125,-1.6602,-43.75,82.2656,2.7969,17.4375,19.3125,403.6255,517.0288,29.0,0.7851,-14.7969,7.8438,77.6875
67342.0,35,1.551,117.6471,1.5702,656,0,139,3.6717,0.4766,3.6406,10,-8.7969,197.998,1.1098,128.6275,-146,7.5858,0,0,14.9543,2.8945,0.3565,37.2263,13.72,28,8,40,608,22,318,0.9102,2.0625,1.5625,-1.6602,-43.75,83.2031,4.5938,18.0625,21.6719,349.6094,576.7822,29.0,0.7851,-19.9531,9.75,78.0625
68362.0,36,1.5625,122.3242,1.5702,617,0,132,3.8878,1.1211,3.7227,10,-7.7969,233.5205,1.1799,125.79,-127,5.7543,140.2317,0,15.8995,2.8851,0.4613,41.2797,15.6583,71,8,36,573,25,311,1.418,1.5,1.625,-1.6602,-43.75,85.4844,3.5313,15.3438,13.0,362.4268,561.2183,29.0,0.7851,-20.4844,9.3125,76.8906
69343.0,37,1.5625,118.8119,1.5702,648,0,136,2.4415,1.8984,1.5352,10,-9.7656,197.7539,1.1173,128.3168,-143,7.2807,0,0,15.1389,2.913,0.3871,38.4026,14.2825,36,8,40,600,24,316,0.207,2.375,1.0,-1.6602,-43.75,88.9375,4.2031,16.8594,20.5469,364.3799,565.8569,29.0,0.7851,-17.5938,10.2188,81.6406
70353.0,38,1.5587,122.825,1.5702,619,0,127,1.8973,1.0234,1.5977,10,-7.7344,154.541,1.1567,126.7144,-131,6.1197,0,0,15.8481,2.8784,0.4746,41.5991,15.811,71,8,36,575,23,311,0.1992,2.3125,1.0625,-1.6602,-43.75,85.2656,3.9219,15.75,17.3125,317.1387,549.6216,29.0,0.7851,-22.0938,9.0,80.0
71330.0,39,1.5702,121.4575,1.5702,618,0,124,4.1752,1.8516,3.7422,10,-10.9844,251.4648,1.1974,125.1012,-124,5.4873,58.0272,0,15.8738,2.9028,0.4389,40.6526,15.3584,64,14,26,578,22,320,1.8594,4.0,1.6875,-1.6602,-43.75,87.9688,4.4844,15.0156,17.0938,369.2627,533.0811,29.0,0.7851,-8.7656,8.6719,83.2813
72318.0,40,1.574,123.0769,1.5702,618,0,125,4.1103,2.0703,3.5508,9,-8.7656,175.9644,1.1553,126.7692,-131,6.1197,0,0,15.8738,2.9112,0.4853,42.0788,16.0404,71,8,46,564,20,315,0.9492,2.1875,1.3125,-1.6602,-43.75,75.1719,5.6094,11.625,17.125,343.6279,522.644,29.0,0.7851,-19.375,12.9844,71.9375
73293.0,41,1.5433,100.3344,1.5702,722,0,122,2.5563,1.1914,2.2617,10,-10.3594,243.7744,1.313,120.7358,-124,5.4873,11.6829,0,13.5873,2.9435,0.1868,30.9638,10.7252,118,8,42,672,28,412,2.3906,2.25,1.25,-1.6602,-43.75,62.1875,6.9531,6.5,13.1875,328.3081,404.9072,29.0,0.7851,-11.0625,9.9844,58.4688
74489.0,42,1.5164,100.9251,1.5702,776,0,118,2.0326,1.3047,1.5586,10,-10.4375,148.1323,1.0644,130.5299,-182,11.6923,0,0,12.6418,2.9385,0.1726,29.575,10.0611,157,8,70,698,27,320,1.1758,2.375,1.0625,-1.6602,-43.75,67.0781,2.5938,16.625,20.6406,231.0181,469.6045,29.0,0.7851,-25.5,9.3594,62.4063
75678.0,43,1.5126,115.6069,1.5702,654,0,121,2.2835,0.9023,2.0977,10,-7.4375,226.9897,1.1743,126.0116,-135,6.496,0,0,15.0,2.8067,0.2895,34.9109,12.6127,16,6,40,608,22,332,0.1602,0.8125,1.0625,-1.6602,-43.75,81.1719,0.6563,18.3438,15.3281,328.8574,502.5024,29.0,0.7851,-15.6563,9.4531,77.0156
76716.0,44,1.5087,120.8459,1.5702,637,0,124,3.2947,1.4609,2.9531,10,-9.3125,249.5117,1.1177,128.2981,-141,7.0805,0,0,15.4003,2.7843,0.4217,39.1889,14.6585,57,8,44,585,20,310,1.2695,2.125,1.625,-1.6602,-43.75,78.5938,5.4063,14.7344,17.8125,358.8867,524.6582,29.0,0.7851,-15.6563,10.2188,74.5156
77709.0,45,1.5126,119.5219,1.5702,658,0,111,4.3793,2.2422,3.7617,12,-7.3125,250.6104,1.0517,131.0757,-156,8.6453,0,0,14.9088,2.8101,0.3991,38.1234,14.1489,54,8,28,622,22,290,1.2656,3.125,0.9375,-1.6602,-43.75,88.1875,2.375,16.7969,15.6406,392.4561,531.25,29.0,0.7851,-18.3438,6.2031,84.7188
78713.0,46,1.4972,115.2738,1.5702,651,0,112,1.9826,0.6328,1.8789,12,-6.8906,258.728,1.1982,125.072,-131,6.1197,2628.8168,0,15.0691,2.7703,0.2787,34.5127,12.4223,21,2,26,623,20,332,1.082,0.875,1.6875,-1.6602,-43.75,86.125,2.5313,22.375,23.6406,347.29,471.9238,29.0,0.7851,-21.9375,4.5313,82.9375
79754.0,47,1.4934,118.8119,1.5702,660,0,116,1.4767,0.0195,1.4766,12,-6.0781,293.8843,1.0606,130.6931,-155,8.5365,0,0,14.8636,2.7691,0.3758,37.2143,13.7142,30,8,22,630,24,310,1.5742,1.8125,2.0,-1.6602,-43.75,87.25,0.2188,22.4375,22.2969,362.3657,543.2129,29.0,0.7851,-30.8281,5.3125,82.0469
80764.0,48,1.4857,119.1658,1.5702,638,0,124,3.7007,1.4648,3.3984,11,-5.5,198.7915,1.1567,126.713,-135,6.496,0,0,15.3762,2.735,0.3723,37.4862,13.8442,51,8,32,598,23,312,1.1563,2.5,1.0,-1.6602,-43.75,82.7656,-1.2656,17.5,11.3906,343.5669,553.1006,29.0,0.7851,-20.0313,8.375,78.0781
81771.0,49,1.5164,118.5771,1.5702,636,0,125,3.9954,2.5938,3.0391,11,-8.25,237.3047,1.1824,125.6917,-130,6.0273,0,0,15.4245,2.8003,0.3608,37.4498,13.8268,56,8,40,588,24,308,0.9883,2.8125,1.1875,-1.6602,-43.75,82.9375,4.9063,16.5469,21.5469,348.6938,520.813,29.0,0.7851,-22.3906,8.1563,77.2969
82783.0,50,1.551,121.3347,1.5702,623,0,124,2.1674,0.3633,2.1367,9,-10.4844,265.7471,1.175,125.9858,-129,5.9356,476.1884,0,15.7464,2.8651,0.4369,40.3134,15.1962,63,10,36,577,28,310,1.3008,2.5,0.5,-1.6602,-43.75,85.7344,3.2188,14.9844,16.375,356.9336,537.0483,29.0,0.7851,-20.8594,11.2188,78.7969
83772.0,51,1.5548,118.5771,1.5702,630,0,127,3.2061,1.7422,2.6914,10,-10.3594,283.02,1.2127,124.5059,-124,5.4873,46.6859,0,15.5714,2.8796,0.367,38.0987,14.1371,48,2,46,582,26,320,0.6211,0.1875,1.5,-1.6602,-43.75,82.0469,3.375,14.1563,15.875,382.5073,525.2075,29.0,0.7851,-22.3906,10.3594,75.0469
84784.0,52,1.5587,121.5805,1.5702,631,0,131,3.2371,1.6563,2.7813,10,-12.4844,371.8262,1.1284,127.8622,-138,6.7853,0,0,15.5468,2.8889,0.4519,40.6597,15.3618,63,8,40,583,20,310,1.2969,1.625,0.9375,-1.6602,-43.5,80.0469,5.0625,16.7344,19.9531,444.397,531.6772,29.0,0.7851,-12.9063,9.6719,76.5625
85771.0,53,1.5587,120.9677,1.5702,630,0,133,2.746,0.8555,2.6094,10,-10.25,306.7017,1.1492,127.0161,-134,6.4009,0,0,15.5714,2.888,0.4317,40.075,15.0822,60,2,38,590,26,308,1.3242,0.3125,2.125,-1.6602,-43.5,84.5781,4.0156,18.9844,21.75,424.0112,538.8794,29.0,0.7851,-26.0,9.4219,78.8438
86763.0,54,1.5663,120.1201,1.5702,642,0,135,3.1244,0.9375,2.9805,9,-11.7656,334.3506,1.1121,128.5285,-143,7.2807,0,0,15.2804,2.9161,0.4233,39.6443,14.8763,37,10,38,594,27,318,0.6484,2.0625,1.6875,-1.6602,-43.5,84.6875,2.5313,19.5313,21.3125,419.4946,552.8564,29.0,0.7851,-25.4219,11.0625,79.1875
